'TRE1','Danielle','Mayo','2002-08-29',' 2 Trafford Pl Kingston 5','+1-612-524-7457x4076','M','christophergardner@moore.biz'
'TRE2','Heather','Barron','1987-09-20','14a Lady Musgrave Rd Kingston 5','432.377.5793','M','michaelgraves@byrd.com'
'TRE3','Laura','Riley','2012-04-22','30 Knutsford Blvd','920.288.4240x821','F','deannapeterson@hotmail.com'
'TRE4','Kelly','Nguyen','1984-04-04','30 Knutsford Blvd','001-719-806-9427x96998','F','thomas62@hamilton.com'
'TRE5','Dawn','Barton','2007-05-14','30 Knutsford Blvd','577-823-6964x5730','M','jacobsonerica@gill.com'
'TRE6','Patty','Dillon','1981-07-04',' 2 Trafford Pl Kingston 5','956.158.0539','M','matthewlewis@evans.com'
'TRE7','Jessica','Schultz','2013-08-04','615 Border Dr.Grayslake IL 60030','907-392-8210','M','michaelwatson@hotmail.com'
'TRE8','Maria','Santana','1990-08-20','21 Mannings Hill Rd Kingston 8','957-100-2981','F','keithmcguire@alvarado.com'
'TRE9','Faith','Hicks','1990-07-13','9602 Roehampton Ave. Forney TX 75126','(799)738-2154x625','F','oscar87@gmail.com'
'TRE10','Jasmine','Lawson','2009-05-28','136 W. Southampton Lane Shakopee MN 55379','(522)485-5698','F','mbray@gmail.com'
