'TRE1','Wendy','Mathis','1999-03-02','14a Lady Musgrave Rd Kingston 5','7925078870','F','parkerdaniel@gmail.com'
'TRE2','Donna','Nelson','1972-10-12','29 Passagefort Dr Portmore','(235)065-9081','M','candacemathis@hotmail.com'
'TRE3','Megan','Pearson','1993-03-09','136 W. Southampton Lane Shakopee MN 55379','697-724-2068','F','edwardstimothy@johnson-church.org'
'TRE4','Adriana','Charles','2004-07-27','9602 Roehampton Ave. Forney TX 75126','001-790-444-3347x176','F','jlopez@thompson.com'
'TRE5','Ashley','Owens','1997-03-21','136 W. Southampton Lane Shakopee MN 55379','478-985-4241','M','jonathan83@gmail.com'
'TRE6','Kara','Joseph','1986-03-18','29 Passagefort Dr Portmore','146-011-8267','F','rebeccapeters@hernandez.com'
'TRE7','Angelica','Dawson','2020-08-19',' 2 Trafford Pl Kingston 5','640-251-3146x481','M','mcbridechristine@wilson.com'
'TRE8','Anna','Thompson','1999-05-11','615 Border Dr.Grayslake IL 60030','(675)469-6250','F','sperez@murphy.com'
'TRE9','Erica','Guzman','2002-02-17','136 W. Southampton Lane Shakopee MN 55379','001-692-810-1860','M','william28@jackson.biz'
'TRE10','Ashley','Wilcox','1970-05-30','1a Gretna Green Ave Kingston 11','(227)638-2898x20260','F','jonesandrew@thomas-owens.net'
